timestamp,user_id,session_id,page_path,page_title,event_name,event_value,country,city,device_category,os,browser,traffic_source,users,sessions,conversion_rate
2025-02-01,user_001,sess_001,/home,Home,page_view,,US,New York,desktop,Windows,Chrome,organic,8500,12200,3.25
2025-02-01,user_002,sess_002,/products,Products,page_view,,UK,London,mobile,iOS,Safari,direct,7200,9800,2.85
2025-02-02,user_004,sess_004,/blog,Blog,page_view,,CA,Toronto,desktop,Mac,Firefox,paid_search,6500,8950,3.50
2025-02-02,user_005,sess_005,/checkout,Checkout,page_view,,AU,Sydney,mobile,Android,Chrome,social,5800,7650,2.95
2025-02-02,user_006,sess_006,/contact,Contact Us,page_view,,DE,Berlin,desktop,Windows,Edge,organic,7100,10200,3.75
2025-02-03,user_008,sess_008,/home,Home,page_view,,FR,Paris,tablet,iOS,Safari,organic,6200,8500,3.10
2025-02-03,user_009,sess_009,/products,Products,page_view,,ES,Madrid,desktop,Windows,Chrome,paid_search,5500,7200,2.80
2025-02-03,user_010,sess_010,/blog,Blog,page_view,,IT,Rome,mobile,Android,Chrome,social,4800,6100,2.45
2025-02-04,user_011,sess_011,/checkout,Checkout,purchase,150.00,US,Los Angeles,desktop,Mac,Safari,organic,9200,13500,4.20
2025-02-04,user_012,sess_012,/home,Home,page_view,,NL,Amsterdam,mobile,iOS,Safari,direct,5600,7400,2.70
